RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag
56.9173588736,23.16476391734,-0.2283,0.2254,0.774,0.187,18.510332,18.919378,17.892366
56.91290922029,23.16357993194,0.2569,0.4154,3.196,-16.075,19.526398,20.294403,18.540644
56.89982013699,23.1651145646,-0.5628,1.6772,4.777,-4.002,20.803543,21.686989,19.455338
56.91377749391,23.16366176913,0.5202,0.1637,3.116,-16.724,18.165354,18.848425,17.394768
56.88940269125,23.17449050993,1.2819,0.5988,-9.646,-16.271,19.982428,21.128252,18.742899
56.81940064072,23.12384221516,-0.7319,0.4223,0.944,1.668,19.466782,20.139994,18.675919
56.81856365776,23.132136421,0.445,0.4323,3.413,-1.437,19.478151,20.327745,18.51142
56.83897331363,23.13273425684,1.6537,1.155,-0.349,-1.001,20.468346,21.137098,19.837343
56.8153380632,23.14462948967,0.3052,0.0983,4.922,-0.236,17.365173,17.831347,16.774443
56.83822027767,23.14090680835,1.179,0.4214,-0.03,0.698,19.542393,20.85659,18.444143
56.83401876927,23.14551842024,-1.3964,1.0322,4.3,-4.155,20.432405,21.415133,19.21883
56.84946705531,23.14900482936,7.3469,0.0517,19.445,-45.54,15.890427,17.49346,14.665
56.84496909536,23.13939622847,0.4037,0.8148,0.759,-13.945,20.188507,21.1654,18.99877
56.84601404716,23.15454132737,0.5883,0.1898,7.757,-7.05,18.252779,19.196789,17.319603
56.82996372182,23.14779115057,-0.6924,0.5743,-0.842,-0.706,19.909885,20.488564,19.177881
56.82994604088,23.15133551893,-0.287,0.4481,6.416,-4.367,19.666067,20.074612,19.105219
56.84779840722,23.16400628876,2.2024,0.4877,-2.429,-0.833,19.387636,20.963617,18.031797
56.84283651448,23.17263060332,1.0738,0.0247,1.054,-4.633,14.571305,15.044904,13.9396
56.80424308942,23.1428680057,0.2206,0.1013,0.81,-1.113,17.14997,17.511322,16.627186
56.79961942952,23.14781993442,3.159,0.4815,4.822,-12.016,19.291252,20.566036,18.003904
56.79788626024,23.15361737271,,,,,20.96545,20.715506,20.650167
56.80355076442,23.14914291495,-1.0143,0.6848,-0.314,-0.397,20.00194,20.29532,19.587135
56.81211957247,23.15175221737,0.655,0.1243,0.348,1.432,17.688898,18.604149,16.7495
56.78811609196,23.15045894286,,,,,20.592396,20.972567,19.516539
56.78065527543,23.15362197672,0.156,0.1168,1.893,-3.351,17.465878,17.937391,16.843563
56.80717680492,23.16295389292,0.3526,0.1152,4.267,-3.83,17.50719,17.9728,16.929928
56.79555531938,23.16889707597,0.2379,0.1797,3.563,-2.398,18.299011,18.845549,17.612072
56.83167349364,23.16858106494,-0.2113,0.2884,-1.227,-0.391,18.886133,19.43969,18.314589
56.83009869568,23.17207985081,,,,,21.085613,19.785446,18.750494
56.80361807382,23.17713738695,1.7783,0.2092,10.821,7.434,18.446558,19.76094,17.344248
56.80766074513,23.18147068461,-0.3271,0.2951,-0.666,1.288,18.609325,19.187115,17.929474
56.80941851603,23.18441777638,1.448,0.3057,3.012,-7.677,18.856165,19.669765,17.800898
56.82007951689,23.18843263071,1.7674,1.0139,-4.963,-3.204,20.429537,21.639217,19.243486
56.8208945636,23.17687620794,3.7667,1.9136,6.94,-6.885,20.651705,21.411968,19.663439
56.87107973955,23.16891883538,1.3148,0.0473,9.642,-0.551,15.959147,16.570969,15.215928
56.88337180328,23.17664362928,0.5139,0.2302,2.147,-7.756,18.60264,19.559515,17.588757
56.8533931095,23.17501564828,0.4821,0.2655,-1.387,-2.404,18.948334,19.592293,18.217188
56.87544515587,23.18612034564,,,,,20.128532,,
56.87564515326,23.18602916818,-1.6731,0.9828,-5.291,-10.27,19.09766,19.978893,17.83977
56.87313150971,23.18646447223,0.1603,0.1841,3.861,-0.26,18.382421,18.981585,17.703283
56.87197847052,23.18514606965,-0.5131,0.3222,-1.548,-3.338,16.582195,16.8636,15.870104
56.88551211481,23.18938555188,0.1435,0.1247,0.084,-1.33,17.7453,18.187778,17.153973
56.90260461454,23.19071463469,0.6987,0.1645,5.613,-1.538,18.062769,19.057735,17.14342
56.89891870462,23.20477715594,-0.7737,0.7382,0.973,-0.587,20.19188,20.424946,19.44405
56.88560800103,23.20714374493,-0.035,0.6996,2.299,0.737,20.034485,20.596704,19.372238
56.88432944134,23.2019848217,3.7076,1.0138,-1.566,-14.551,20.348368,21.67534,19.049627
56.8863678988,23.20198072371,0.2821,0.6461,-0.406,-2.446,19.969856,20.390715,19.334152
56.84334924117,23.1833484567,2.93,0.6086,-7.748,-12.023,20.007145,20.352922,19.826405
56.84573105708,23.18225219572,0.2623,0.0957,-3.389,-7.439,17.005962,17.449308,16.409153
56.83451477211,23.19208153127,0.1286,0.1843,-0.379,-1.951,18.23037,18.619648,17.663845
56.82885460755,23.19394681586,0.4334,1.2417,5.446,-3.727,20.463549,20.460495,19.843504
56.83715759895,23.20295304562,0.7549,0.4898,0.181,0.021,19.545294,19.990929,18.978003
56.85036621766,23.20958815685,1.3863,0.4501,1.976,-2.055,19.601337,20.736212,18.463617
56.83983881212,23.21118738872,0.3362,0.3991,2.985,0.599,19.401249,20.302734,18.466068
56.83751096415,23.2055847559,0.9537,0.0342,-4.185,-4.918,15.089622,15.50225,14.503017
56.87133900807,23.20344075515,0.845,0.6004,-0.971,-1.123,19.850971,20.23521,19.087156
56.85966377793,23.2063485392,0.0131,0.5905,0.014,-1.763,19.931786,20.673021,19.10306
56.87126731524,23.21187665103,0.722,0.0821,6.549,-4.277,15.947441,16.434372,15.27005
